character,frequency,onyomi,kunyomi,jlpt,meaning,keyword,story1,story2
亜,1509,ア,つ.ぐ,1,rank next; come after; -ous,Asia,"In Asian countries, people use II chopsticks to get things into their mouths. Just imagine someone shoving a piece of sushi into their mouths with chopsticks.","A mouth barred up and not aloud to speak freely is the sign of asia (korea, China, pakistan etc)."
唖,,ア アク,おし,,mute; dumb,babble,Babble is what comes out of Asian people's mouths until you learn their language.,"The kanji has the meanings of ""mute"" (聾唖) and ""speechless"" (唖然), like ""dumb"" used to (""struck dumb"" etc). Asian mouth is mute in a way, because they don't babble so much as they do in some parts of the world."
娃,,ア アイ ワ,うつく.しい,,beautiful,fair,The photographer took a picture of this fair woman framed by ivy.,"Come on, think of Rapunzel. That WOMAN was so FAIR, she was locked away. Only she used her IVY like FAIR hair to let her lover climb to her."
阿,1126,ア オ,おもね.る くま,1,flatter; fawn upon; corner; nook; recess,Africa,Can you see Africa from The Pinnacle? I can! I can!,"A kinda pictogram: 'BoT', the first 3 letters in 'Botswana' an African country."
哀,1715,アイ,あわ.れ あわ.れむ かな.しい,1,grief; sorrow; pathos; pity; sympathize,pathetic,One of my friends with a crazy sense of fashion loves to wear a tophat and a scarf so that you can't see his whole face but only his mouth. He thinks it's cool. I think it's pathetic.,"A poor, homeless child like Oliver Twist, with a hungry open mouth, is pathetic-- in the original sense of the noun ""pathos."" The tattered tophat and scarf he wears only adds to the pathos."
愛,640,アイ,いと.しい かな.しい め.でる お.しむ まな,2,affection; favourite,love,"If you really love someone, you won't keep them in a cage-like bird house relationship, but rather open the door and let their heart walk around freely. Think less about ""I"" (あい) and more about ""we"".","The man is about to enter the 'birdhouse' (brothel) when he remembers his true love at home, and, following his heart, uses his walking legs to go straight home."
挨,2258,アイ,ひら.く,,approach; draw near; push open,shove,"In the busy pub, one of the dart players shoved his dart into my elbow by accident when it nearly slipped out of his fingers.","Your fingers slip when someone's elbow shoves you, causing you to drop the dart you were about to throw. But as you can see, their elbow is very small, so you decide they're too weak to shove back."
姶,,オウ アイ,あい,,good-looking; quiet,,,
逢,2116,ホウ,あ.う むか.える,,meeting; date; rendezvous,tryst,"Going out on the road to use a pointy (see my comments in 峰 峰 (#1683)) part of my anatomy, is called a tryst.","While I was having a tryst with my secret lover on the road, I had to quickly run towards the bushes with my walking legs, because my husband suddenly appeared."
葵,2122,キ,あおい,1,,hollyhock,Hollyhock loved to suck cock. With a flower in her hair she would lead you into a teepee and let you experience heaven.,The hollyhock is a flower that can grow as large as a teepee. It almost reaches to heaven.
茜,2422,セン,あかね,1,madder; red dye; Turkey red,madder red,Madder red is an extract from a flower which was used as fake blood in western films.,Madder red is a colouring agent that is acquired out of the roots of plants that grow in the west.
穐,,シュウ,あき とき,,autumn,,,
悪,530,アク オ,わる.い わる- あ.し にく.い -にく.い ああ いずくに いずくんぞ にく.む,3,vice; rascal; false; evil; wrong,bad,"Because Asian people started to eat Western food, their hearts became bad and they started having heart attacks.","Asian hearts are bad and evil. They invented so much martial arts: karate, judo, kungfu, muay thai, silat, etc... just to hurt each other. They torture their own people (China, North Korea). They torture other people (Japan in China and Korea). And they are able to hide all this behind their nice facade of kindness. Bad, bad Asians. (did i shatter some people's ideas on Asia? my bad)."
握,1003,アク,にぎ.る,1,hold; mould sushi; bribe,grip,Fingers gripping the roof as your about to fall to your death. Think of an action scene in some movie.,"(This is the にぎ of sushi). A sushi chef climaxes into a rice ball, wraps it in an American flag, and grips is firm with his fingers to form the ""Fuck You America Onigiri."""
渥,2257,アク,あつ.い うるお.う,1,kindness,moisten,"Before raging wildfires approach the town, homeowners will spray hose water on their roof to moisten the house as a preventative measure.","Obviously, water on a roof will moisten it."
旭,1417,キョク,あさひ,1,morning sun,rising sun,9am carries with it the rising sun.,Nine planets revolve around our rising sun.
葦,2343,イ,あし よし しお.れる しな.びる しぼ.む な.える,,reed; bullrush,ditch reed,"After breaking up with her boyfriend and ditching him, she threw the flowers and locket he gave her into the ditch reeds.","THANK GOD THIS IS THE LAST OF THE FLOWER KANJI IN RTK3. There were 65 of them! Time to ditch all these reeds, and seal all of these flowers away in the locket of your mind."
芦,1733,ロ,あし よし,,reed; bullrush,hollow reed,"You must play a tune using a hollow reed, to open the secret door hidden beneath the flowers.","Ancient superstition requirs you to adorn your door with hollow reed and flowers, but nobody knows the purpose anymore."
鯵,,ソウ,あじ,,,horse mackerel,"Fish, visit: Mother to daughter: ""I bought you a hors..."". The girls started a joyous screaming. ""Let's visit it"", the girl says. Daughter follows mother to.. the kitchen, showing her the fish she bought. Mother: ""I wanted to tell you that I bought a horse mackerel for dinner!""",The horse mackerel is a fish that must visit both its horse and mackerel relatives.
梓,2301,シ,あずさ,1,catalpa tree; woodblock printing,catalpa,"The CATALPA is the tree that bears the SPICY Indian bean (NOTE - The Catalpa is also known as the ""Indian Bean"" due to the bean pods that grow from it).",The caterpillar's favorite tree is the catalpa because it tastes spicy.
圧,718,アツ エン オウ,お.す へ.す おさ.える お.さえる,2,push; overwhelm; oppress; dominate,pressure,The GROUND at the base of a CLIFF must suffer from enormous pressure.,"For physics people: p = F/A (p:pressure, F:Force, A:Area). Where the force is from the immensity of the cliff. The area on the cliff is covered by soil. So the equation becomes p = F/A = cliff/soil which preserves the position of the primitives."
斡,,アツ カン ワツ,めぐ.る めぐ.らす,,go around; rule; administer,auspices,"Under the auspices of the local observatory, we looked at the Big Dipper on a misty night, huddled under an umbrella.","Under the auspices of NASA, we explored the Big Dipper -- it was misty but NASA placed a giant umbrella over the Big Dipper to keep us dry."
扱,1057,ソウ キュウ,あつか.い あつか.う あつか.る こ.く,1,entertain; thresh; strip,handle,"See 吸 (#744): if it's too big to handle, just use your fingers instead...",One of the first thing a baby can do with his hand is to reach out and grab your finger as if it was a little handle.
宛,,エン,あ.てる -あて -づつ あたか.も,,just like; fortunately,address,Your address should be displayed on your house and mailbox.,"For the primitive: This is a hi-tech Japanese mailbox, it automatically lights up in the evening, and has a biometric fingerprint scanner. --- Each house's address, even if it's hard to see in the evening, is like its own unique fingerprint."
姐,,ソ シャ,あね ねえさん,,elder sister; maidservant,young miss,A young miss in a rich Japanese household is often treated with such care that she is a like a woman who is put on a shelf like an ornament.,The young miss won a long of baby beauty pageants. A whole shelf is devoted to the prices she won.
虻,,ボウ,あぶ,,gadfly; horsefly,,,
飴,,イ シ,あめ やしな.う,,rice jelly; candy,sweets,"Of all the foods, sweets are definitely the ones kids put on a pedestal.",The only food at the pedestal is sweets to keep the lecturer's energy up.
絢,2315,ケン,,1,brilliant fabric design,gorgeous,"Spider-Man is quite the womanizer. When he sees a hot babe, he whistles and calls, 'Hey, gorgeous, how'd you like to be bound up with Spidey for a decameron?' Unfortunately most of the women he whistles at don't know what a decameron is; some of them think it's a hot car.","Spidey thinks de cameron_en is gorgeous. Why thank you, Spiderman :-)."
綾,1759,リン,あや,1,design; figured cloth; twill,damask,The rice seedlings notice that Spiderman's blocking their path to the promised land. So they put on da mask which was made of a figured cloth and managed to outsmart spidey.,Those rice-seedlings on walking legs had to carry this thread all the way from the middle east to introduce the beautiful damask to the Japanese.
鮎,2201,デン ネン,あゆ なまず,1,freshwater trout; smelt,sweet smelt,"A fish arrives at the fortune-teller's who, without looking, says ""Welcome, Sweet Smelt"". ""That's amazing"", says the fish, ""how did you know I was a sweet smelt?"" ""Well, most fish smell bad, but you smelt sweet.""","The fortune teller turned to me smiling, ""Ah you (アユ) will do well. I can sense the sweet smell of success. And what better way to celebrate than with that sweetest of fish the sweet smelt!"""
或,2378,ワク コク イキ,あ.る あるい あるいは,,some; one; or; possibly; a certain,a,"A certain drunken mouth is on the floor at the fiesta moaning ""Aaaaaaaaaaaaaaaa"".","A is an indefinate article alright. At this fiesta, the band wern't the genuine article either. So the patrons threw them off the stage (""Aaaaaa!"") and pressed their mouthes against the floor. ""Sing no more you talentless hacks!!'"
粟,2146,ゾク ショク ソク,あわ もみ,,millet,foxtail millet,"Maybe the Japanese ought to rethink their nickname for America. Seriously, the only ""rice"" I have seen in the wild west is foxtail millet.","West, rice: In the old west there was a special type of plant (it's now extinct): the foxtail millet. It behaved like regular millet, but when somebody wanted to reap it, it ran away as quick as a fox, leaving a small trail of rice."
袷,,コウ キョウ,あわせ,,lined (kimono),lined kimono,"Cloak, fit: The lined kimono was lined in such a way that it made people appear to be slimmer than they really were. Even people who didn't fit in the accompanying cloak still bought the lined kimono...",Girls all lined up in front of the cloakroom in the department store to be fitted with lined kimonos for their coming of age ceremony.
安,144,アン,やす.い やす.まる やす やす.らか,4,cheap; low; quiet; rested; contented; peaceful,relax,"It's funny, Hesig gives no Kanji in his book that means cheap/inexpensive... well... if you were wondering what Kanji would carry that meaning, look no further. Sometimes I wonder if Hesig just thinks our little brains would be too easily confused by multiple meanings. Regardless, think of that woman relaxing. Cheapest place to do that is in one's own home rather than at some fancy resort, eh? 家で休暇を取るは安いですね。.","You can only relax, when you have woman under roof to do all chores."
庵,2119,アン,いおり いお,,retreat,hermitage,"The hermit's home, his hermitage, is a simple CAVE where he lives with his pet DACHSHUND.","At the famous Hermitage museum in St. Petersburg, they have a cave below the museum with a big sculpture of the Midgard Snake."
按,,アン,おさ.える しら.べる,,hold; consider; investigate,press down on,Think of shiatsu. You press down on someone with your fingers to help them relax.,You help your girlfriend relax by pressing down on her back with your fingers.
暗,1040,アン,くら.い くら.む くれ.る,3,disappear; shade; informal; grow dark; be blinded,darkness,Picture the sun exploding - there would be a gigantic noise and then...nothing. Everything would plunge into darkness.,"In places of complete darkness, such as caves where the sun can't reach, creatures such as bats have learned to navigate by sound rather than sight. The poor guys must have to fly around screaming ""Marco!"" and ""Polo!"" all the time."
案,206,アン,つくえ,2,suggestion; draft; ponder; fear; proposition; idea; expectation; worry; table; bench,plan,I plan to RELAX on top of that TREE.,"If you bring a woman to your house, generally its not a good plan to stick your wood up her bottom, she may scream in pain あん!"
